Номенклатура	Название номенклатуры	Код группы	Оригинальный код	Склад	Код палеты	В наличии	Зарезервировано	Доступно
1700865F	ЗАГОТОВКА КЛЮЧА	FO.ЗЧ	1700865	2		2,00	0,00	2,00
1700923F	НИЖ.УПЛОТ.ДВЕРИ	FO.ЗЧ	1700923	2		2,00	2,00	0,00
170140	Шкаф металлический (1850х850х500), ШХА/850	ПП.ИН	ШХА/850	Цех		4,00	0,00	4,00
1701597F	Подшипник промежуточного вала	FO.ЗЧ	1701597	2		7,00	0,00	7,00
1701723F	ЗЕРКАЛО, Transit	FO.ЗЧ	1701723	2		1,00	0,00	1,00
170197	Сушка инфракрасная ручная IRT 1 PrepCure, 800429	ПП.ИН	800429	Ин		2,00	0,00	2,00
1702313F	ПЕРЕДНЕЕ КРЫЛО	FO.ЗЧ	1702313	2		1,00	0,00	1,00
170265	"Вороток 1/2"" с шарниром 450мм. King Tony, 4452-18FR"	ПП.ИН	4452-18FR	Ин		7,00	0,00	7,00
170265	"Вороток 1/2"" с шарниром 450мм. King Tony, 4452-18FR"	ПП.ИН	4452-18FR	Цех		2,00	0,00	2,00
170270	Напильник набор 5пр. King Tony 1005GQ	ПП.ИН	1005GQ	Ин		11,00	0,00	11,00
170270	Напильник набор 5пр. King Tony 1005GQ	ПП.ИН	1005GQ	Цех		1,00	0,00	1,00
170283	"Шина ""Dunlop"" 215/50/17 SP Winter Ice 01 95T шип."	ШИНЫ.гр2	215/50/17	3		4,00	0,00	4,00
1702985F	ДАТЧИК	FO.ЗЧ	1702985	2		1,00	0,00	1,00
1703145F	Передний поперечный рычаг задней подвески	FO.ЗЧ	1703145	2		7,00	0,00	7,00
170369	Емкость топливная прямоугольная 1000л	ПП.ИН	Емкость 1000л	Цех		1,00	0,00	1,00
1704114F	Накладка заднего бампера (верхняя)	FO.АКС	1704114	Бр		1,00	0,00	1,00
1704482F	абсорбер переднего бампера правый	FO.ЗЧ	1704482	2		1,00	1,00	0,00
1704582F	КОМП.КОЛП.КОЛ.	FO.АКС	1704582	2		2,00	0,00	2,00
1704619F	ЗАДНИЙ БАМПЕР	FO.ЗЧ	1704619	Бр		1,00	0,00	1,00
1704765F	Диск тормозной задний, Focus (2)	FO.ЗЧ	1704765	2		2,00	0,00	2,00
1705755F	Спойлер заднего бампера без выреза под выхлопную трубу	FO.ЗЧ	1705755	2		1,00	1,00	0,00
1705755F	Спойлер заднего бампера без выреза под выхлопную трубу	FO.ЗЧ	1705755	Бр		2,00	0,00	2,00
1705756F	Спойлер заднего бампера с вырезом под выхлопную трубу	FO.ЗЧ	1705756	2		1,00	1,00	0,00
170616	"Ключ динамометрический 1/2"" Hazet, 5122-2CT"	ПП.ИН	5122-2CT	ИнБр		2,00	0,00	2,00
170616	"Ключ динамометрический 1/2"" Hazet, 5122-2CT"	ПП.ИН	5122-2CT	Цех		8,00	0,00	8,00
1706176F	вентиляционная решетка задняя на крыле	FO.ЗЧ	1706176	2		1,00	1,00	0,00
1706261F	Заглушка буксировочной петли заднего бампера	FO.ЗЧ	1706261	2		1,00	1,00	0,00
1706621F	Переключатель стеклоочистителя	FO.ЗЧ	1706621	2		1,00	0,00	1,00
170705	Эмблема KIA Sportage 863533W510	KIA.ЗЧ.КУЗ	863533W510	2		1,00	1,00	0,00
1707050F	Корпус термостата	FO.ЗЧ	1707050	2		1,00	0,00	1,00
1707284F	ПАНЕЛЬ ОТДЕЛКИ	FO.ЗЧ	1707284	2		1,00	1,00	0,00
1707323F	Прокладка клапана EGR	FO.ЗЧ	1707323	2		4,00	0,00	4,00
170737	Пленка стойки двери передней правой KIA 86372A2000	KIA.ЗЧ.КУЗ	86372A2000	2		1,00	1,00	0,00
170738	Пленка стойки двери передней правой KIA 86373A2000	KIA.ЗЧ.КУЗ	86373A2000	2		1,00	1,00	0,00
170739	Дверь передняя правая KIA 76004A2000	KIA.ЗЧ.КУЗ	76004A2000	2		1,00	1,00	0,00
1707627F	БОЛТ (5)	FO.ЗЧ	1707627	2		3,00	0,00	3,00
170771	"Гайковерт 3/4"" Ingersoll-Rand, 2145QIMAX, 45624327"	ПП.ИН	2145QIMAX, 45624327	Ин		1,00	0,00	1,00
170772	Заклепочник пневматический LA437-EU, 01328608	ПП.ИН	LA437-EU, 01328608	Ин		1,00	0,00	1,00
170782	Щипцы для шлангов, Kamasa K227	ПП.ИН	K227	Ин		1,00	0,00	1,00
170810	Домкрат подкатной 2т Compac, 2T-C	ПП.ИН	2T-C	Цех		1,00	0,00	1,00
1708177F	КОМПЛ. ФОРСУНОК	FO.ЗЧ	1708177	2		1,00	0,00	1,00
1708273F	Клиновой ремень навесного оборудования (к-кт), FORD	FO.ЗЧ	1708273	2		4,00	0,00	4,00
1708388F	Кулачок управления отопителем	FO.ЗЧ	1708388	2		1,00	0,00	1,00
1708457F	Крышка ограничителя двери правая	FO.ЗЧ	1708457	2		1,00	0,00	1,00
1708459F	Крышка ограничителя двери левая	FO.ЗЧ	1708459	2		1,00	0,00	1,00
170858	Рефрактометр дл охл. жидкости, омывателя ветрового стекла и электролита, SY-PEF-337	ПП.ИН	SY-PEF-337	Ин		1,00	0,00	1,00
170863	Набор для определения утечек системы охлаждения (лампа 50Вт+очки), BC-UV-L-50	ПП.ИН	BC-UV-L-50	ИнБр		1,00	0,00	1,00
170868	Инструмент для вентилей, T111	ПП.ИН	T111	Цех		1,00	0,00	1,00
1708797F	КОМПЛ. ФОРСУНОК	FO.ЗЧ	1708797	2		3,00	0,00	3,00
170889	Распылитель жидкостей насосного действия INP объем 1л, 24011	ПП.ЗЧ.ЛК	24011	Цех		2,00	0,00	2,00
1709013F	Фильтр салона C-Max 2010-, Focus 2011-, Kuga 2013-	FO.ЗЧ	1709013	2		58,00	0,00	58,00
1709013F	Фильтр салона C-Max 2010-, Focus 2011-, Kuga 2013-	FO.ЗЧ	1709013	Бр		1,00	0,00	1,00
1709013F	Фильтр салона C-Max 2010-, Focus 2011-, Kuga 2013-	FO.ЗЧ	1709013	Вт		1,00	0,00	1,00
1709059F	ЭЛЕМ.ТОПЛ.ФИЛ.	FO.ЗЧ	1709059	2		2,00	0,00	2,00
1709059F	ЭЛЕМ.ТОПЛ.ФИЛ.	FO.ЗЧ	1709059	Бр		1,00	0,00	1,00
1709787F	ТОПЛ. ФИЛЬТР	FO.ЗЧ	1709787	2		11,00	0,00	11,00
170987	Набор для рельефных поверхностей: шлифок+2насадки DC2729-25297, 50729	ПП.ИН	50729	Ин		2,00	0,00	2,00
170987	Набор для рельефных поверхностей: шлифок+2насадки DC2729-25297, 50729	ПП.ИН	50729	Цех		2,00	0,00	2,00
171004	Пистолет маслораздаточный с счетчиком Flexbimec, 2833	ПП.ИН	2833	Ин		2,00	0,00	2,00
1710053F	Кольцо стопорное, Ford	FO.ЗЧ	1710053	2		7,00	0,00	7,00
171011	"Куртка утепленная зимняя ""Форт"" ""Chevrolet"" размер 48-50 рост 170-176"	ПП.СО	Куртка утепленная зи	Ин		1,00	0,00	1,00
1710218F	ЛОБОВОЕ СТЕКЛО	FO.ЗЧ	1710218	2		1,00	1,00	0,00
171040	Набор для ремонта бампера, кейс, 348366	ПП.ИН	348366	Ин		1,00	0,00	1,00
1710611F	ЗАДН. ФОНАРЬ	FO.ЗЧ	1710611	2		1,00	1,00	0,00
171065	Тележка гидравлическая 2,5т. дл. вил-1150мм., BF-25	ПП.ИН	BF-25	2		1,00	0,00	1,00
1711230F	МОЛДИНГ ДВЕРИ	FO.ЗЧ	1711230	2		1,00	0,00	1,00
1711498F	КЛАПАН	FO.ЗЧ	1711498	2		1,00	0,00	1,00
1712024F	Колодки тормозные перед Focus/C-Max 2011-	FO.ЗЧ	1712024	2		7,00	0,00	7,00
1712024F	Колодки тормозные перед Focus/C-Max 2011-	FO.ЗЧ	1712024	Вт		1,00	0,00	1,00
1712228F	ТЕРМОСТАТ	FO.ЗЧ	1712228	2		1,00	0,00	1,00
1712276F	АКБ 60 а/ч	FO.ЗЧ	1712276	2		5,00	0,00	5,00
1712277F	АККУМУЛЯТОР	FO.ЗЧ	1712277	2		1,00	0,00	1,00
171246	Зажим вытяжной самозатяг двустор Мастак, 112-20023	ПП.ИН	112-20023	Ин		1,00	0,00	1,00
171249	Зажим вытяжной двустор Мастак, 112-23035	ПП.ИН	112-23035	Ин		1,00	0,00	1,00
171267	Ножовка по металлу 305мм King Tony, 7911-12	ПП.ИН	7911-12	Ин		1,00	0,00	1,00
171270	Держатель (ручка к-кт 2шт) струны для срезки стекла Equalizer, LWH-200	ПП.ИН	LWH-200	Ин		1,00	0,00	1,00
171272	Держатель с двумя присосками (2шт), ESM-911	ПП.ИН	ESM-911	Ин		2,00	0,00	2,00
171278	Съемник клемм аккумуляторных, подшипников генераторов и съемников поводков, 106-00001	ПП.ИН	106-00001	Ин		1,00	0,00	1,00
1712819F	ЩЕТКА ОЧИСТ.  >	FO.ЗЧ	1712819	2		9,00	0,00	9,00
1712908F	ДЕТАЛЬ FORD	FO.ЗЧ	1712908	2		1,00	0,00	1,00
1713250F	ЩЕТКА ОЧИСТ.	FO.АКС	1713250	2		2,00	1,00	1,00
1713793F	Болт М11х25мм	FO.ЗЧ	1713793	2		8,00	0,00	8,00
171402	Пленка антигравийная двери задней правой Kia Ceed New 87549A2030	KIA.ЗЧ.КУЗ	87549A2030	2		1,00	1,00	0,00
1714254F	УПЛ. ТЕРМОСТАТА	FO.ЗЧ	1714254	2		2,00	0,00	2,00
1714326F	ЩЕТКА ОЧИСТ.	FO.ЗЧ	1714326	2		8,00	0,00	8,00
1714388F	Глушитель, Transit	FO.ЗЧ	1714388	2		1,00	0,00	1,00
1714485F	Чехол рулевой тяги	FO.ЗЧ	1714485	2		1,00	1,00	0,00
1714920F	Прокладка сливной пробки поддона картера, FORD  (25)	FO.ЗЧ	1714920	2		20,00	0,00	20,00
171503	"Куртка костюма механика ""FORD"" размер 48-50 рост 170-176"	ПП.СО	Куртка костюма механ	Бр		6,00	0,00	6,00
171503	"Куртка костюма механика ""FORD"" размер 48-50 рост 170-176"	ПП.СО	Куртка костюма механ	Ин		1,00	0,00	1,00
171503	"Куртка костюма механика ""FORD"" размер 48-50 рост 170-176"	ПП.СО	Куртка костюма механ	Цех		10,00	0,00	10,00
171504	"Куртка костюма механика ""FORD"" размер 52-54 рост 182-188"	ПП.СО	Куртка костюма механ	Бр		2,00	0,00	2,00
171504	"Куртка костюма механика ""FORD"" размер 52-54 рост 182-188"	ПП.СО	Куртка костюма механ	Ин		5,00	0,00	5,00
171504	"Куртка костюма механика ""FORD"" размер 52-54 рост 182-188"	ПП.СО	Куртка костюма механ	Цех		9,00	0,00	9,00
171505	"Полукомбинезон костюма механика ""FORD"" размер 48-50 рост 170-176"	ПП.СО	Полукомбинезон костю	Бр		6,00	0,00	6,00
171505	"Полукомбинезон костюма механика ""FORD"" размер 48-50 рост 170-176"	ПП.СО	Полукомбинезон костю	Цех		9,00	0,00	9,00
171506	"Полукомбинезон костюма механика ""FORD"" размер 52-54 рост 182-188"	ПП.СО	Полукомбинезон костю	Бр		2,00	0,00	2,00
171506	"Полукомбинезон костюма механика ""FORD"" размер 52-54 рост 182-188"	ПП.СО	Полукомбинезон костю	Цех		12,00	0,00	12,00
1716647F	Плафон салона	FO.ЗЧ	1716647	2		1,00	0,00	1,00
171669	Устройство обеззараживания осадка мешк типа (3меш) в к-кте с мешками (15шт)	ПП.ИН	Устр обеззараживания	Цех		1,00	0,00	1,00
171688	"Ключ динамометрический 1/2"" 6-50Нм Stahlwille, 730/5, 50180005"	ПП.ИН	730/5, 50180005	Ин		5,00	0,00	5,00
171688	"Ключ динамометрический 1/2"" 6-50Нм Stahlwille, 730/5, 50180005"	ПП.ИН	730/5, 50180005	Цех		3,00	0,00	3,00
171689	Трещотка сменная 9/12 мм 725QR/4 для арт. 171688	ПП.ИН	725QR/4	Ин		2,00	0,00	2,00
171689	Трещотка сменная 9/12 мм 725QR/4 для арт. 171688	ПП.ИН	725QR/4	Цех		1,00	0,00	1,00
1717053F	Бачок расширительный	FO.ЗЧ	1717053	2		1,00	1,00	0,00
1717385F	Прокладка приемной трубы	FO.ЗЧ	1717385	2		1,00	0,00	1,00
1717510F	Фильтр масляный, 2.0 diesel  > (10)	FO.ЗЧ	1717510	2		22,00	0,00	22,00
1717583F	Болт кронштейна топливной форсунки М7х67мм	FO.ЗЧ	1717583	2		4,00	0,00	4,00
1717609F	НАТЯЖНОЙ ШКИВ	FO.ЗЧ	1717609	2		1,00	0,00	1,00
1717631F	СВЕЧА ПОДОГРЕВА	FO.ЗЧ	1717631	2		1,00	0,00	1,00
1717680F	панель отделки двери	FO.ЗЧ	1717680	2		1,00	0,00	1,00
171778	Батарея аккумуляторная DELTA HR 12-18W	ПП.ЗЧ	DELTA HR 12-18W	ИнБр		1,00	0,00	1,00
1718023F	Колодки тормозные задние Transit	FO.ЗЧ	1718023	2		3,00	0,00	3,00
1718237F	Воздушный фильтр отопителя, FORD	FO.ЗЧ	1718237	2		1,00	0,00	1,00
1718465F	БРЫЗГОВИКИ ЗАДНИЕ, К-КТ. FORD	FO.АКС	1718465	2		1,00	0,00	1,00
1718734F	Решетка бампера переднего центральная	FO.ЗЧ	1718734	2		1,00	1,00	0,00
1718736F	РЕШЕТКА БАМП.	FO.ЗЧ	1718736	2		1,00	1,00	0,00
1718747F	РЕШЕТКА РАД.	FO.ЗЧ	1718747	2		1,00	1,00	0,00
1719100F	Бампер зад центральная часть	FO.ЗЧ	1719100	Бр		4,00	0,00	4,00
1719227F	РЕШЕТКА РАД.	FO.ЗЧ	1719227	Бр		1,00	0,00	1,00
1719342F	ПЕРЕДНИЙ БАМПЕР	FO.ЗЧ	1719342	2		1,00	1,00	0,00
1719342F	ПЕРЕДНИЙ БАМПЕР	FO.ЗЧ	1719342	Бр		1,00	0,00	1,00
1719425F	Бампер зад лев часть	FO.ЗЧ	1719425	Бр		1,00	0,00	1,00
1719542F	Тяга стабилизатора, задняя FORD	FO.ЗЧ	1719542	2		6,00	0,00	6,00
1719618F	Коврики салона (велюр), Focus 2011-	FO.АКС	1719618	2		2,00	0,00	2,00
1719834F	ДЕТАЛЬ FORD	FO.ЗЧ	1719834	2		1,00	0,00	1,00
171991	"Набор инструмента универсальный (1/2"", 1/4, ключ 6-27мм, отверт, ударн, шарн-губ, биты) Hazet, 0-130"	ПП.ИН	0-130	Цех		9,00	0,00	9,00
171993	Устройство пуско-зарядное передвижное Gystart, 724 E, 025356	ПП.ИН	025356	Цех		1,00	0,00	1,00
171994	Бустер устройство пуско-зарядное переносное Gyspac, 650, 026254	ПП.ИН	026254	Ин		1,00	0,00	1,00
171995	"Набор шестигранников на голове 1/2"" Hazet, 161-45P/10"	ПП.ИН	161-45P/10	Цех		1,00	0,00	1,00
171996	"Набор TORX внеш и внтур на голове 1/2"" и 1/4"" TORS г-обр Hazet, 163-192/24"	ПП.ИН	163-192/24	Ин		1,00	0,00	1,00
171997	Набор инструмента для демонтажа стекол 6пр Hazet, 4852/6	ПП.ИН	4852/6	Цех		1,00	0,00	1,00
171999	Пневмонож для удаления стекол 9пр Hazet, 9034-2/9	ПП.ИН	9034-2/9	Ин		1,00	0,00	1,00
1719997F	Гайки-секретки Mondeo 2008-2014г.	FO.ЗЧ	1719997	Вт		1,00	0,00	1,00
172000	"Гайковерт 1/2"" 576Нм Chicago Pneumatic, CP734H"	ПП.ИН	CP734H	ИнБр		4,00	0,00	4,00
172000	"Гайковерт 1/2"" 576Нм Chicago Pneumatic, CP734H"	ПП.ИН	CP734H	Цех		3,00	0,00	3,00
172001	"Пневмотрещотка 1/2"" 68Нм Chicago Pheumatic, CP886H"	ПП.ИН	CP886H	ИнБр		3,00	0,00	3,00
172001	"Пневмотрещотка 1/2"" 68Нм Chicago Pheumatic, CP886H"	ПП.ИН	CP886H	Цех		3,00	0,00	3,00
172002	"Набор головок 1/2"" удлин колесн Checago Pneumatic, SS413WP"	ПП.ИН	SS413WP	Ин		3,00	0,00	3,00
172002	"Набор головок 1/2"" удлин колесн Checago Pneumatic, SS413WP"	ПП.ИН	SS413WP	Цех		4,00	0,00	4,00
1720193F	смазка для подшипников	FO.ЗЧ	1720193	1		1,00	0,00	1,00
1720481F	ВТУЛКА	FO.ЗЧ	1720481	2		4,00	0,00	4,00
1720485F	ВТУЛКА	FO.ЗЧ	1720485	2		1,00	0,00	1,00
172050	"Устройство мультим. ""INTRO"" CRH-2277BL (FORD MONDEO) 07+"	ДОП.МУЛ	CRH-2277BL	4		1,00	0,00	1,00
1720612F	Масляный фильтр двигателя, FORD (10)	FO.ЗЧ	1720612	2		3,00	0,00	3,00
172071	Тормозной шланг передний левый Kia Sportage ~10 587312S100	KIA.ЗЧ.ТОР	587312S100	2		1,00	0,00	1,00
172080	Линия диагностическая (S/N: 418431-001) MAHA Special 3,2, MR000032	ПП.ИН	Special 3,2 MR000032	Цех		1,00	0,00	1,00
172082	Круг поворотный (к-кт) для подъемника, S110A7	ПП.ИН	S110A7	Цех		1,00	0,00	1,00
172085	Иммобилайзер Karakurt JS-305	ДОП.ПТУ	Иммобилайзер Karakur	4		4,00	0,00	4,00
172086	Проставка повышающая для подъемника 374W3K адаптер к-кт 4 по 140мм Ravaglioli, S224A4	ПП.ИН	S224A4	Цех		6,00	0,00	6,00
172091	Модуль регуляторн 4WD для стенд тормоз для провер полнопривод авто с трансмисс VISCO MAHA, VZ 990355	ПП.ИН	VZ 990355	Цех		1,00	0,00	1,00
172092	"Комплект компьютерного оборудования (монитор 19"", системный блок, принтер, клавиатура, мышь)"	ПП.ИН	К-кт комп оборуд	Цех		2,00	0,00	2,00
1720926F	Пленка датчика дождя	FO.ЗЧ	1720926	2		7,00	2,00	5,00
172094	"Комплект компьютерного оборудования (монитор 19"", системный блок, принтер, клавиатура, мышь) д/MAHA"	ПП.ИН	MCD2000	Цех		1,00	0,00	1,00
172097	Верстак 1-тумб 1390х686х845мм Ferrum, 01.105-G5015	ПП.ИН	01.105-G5015	Цех		10,00	0,00	10,00
172099	Станок балансировочный (S/N: 1012.6028752.7876) Hoffman Geodyna 4500-2-3D, 6028752	ПП.ИН	6028752	Цех		1,00	0,00	1,00
172100	Станок шиномонтажный взрыв (S/N: 0511.6027703.1081) Hofmann Monty 3300-24 GP, 6028796	ПП.ИН	6028796	Цех		1,00	0,00	1,00
172102	Катушка вытяжки ОГ в сборе с шлангом 7м и насадкой Filcar, ARC-100/7PB-COMP	ПП.ИН	ARC-100/7PB-COMP	Ин		1,00	0,00	1,00
172102	Катушка вытяжки ОГ в сборе с шлангом 7м и насадкой Filcar, ARC-100/7PB-COMP	ПП.ИН	ARC-100/7PB-COMP	Цех		6,00	0,00	6,00
172103	Компрессор винтовой (500л, 1380л/мин, 10бар) (S/N: 12M-011434) Fiac, CRSD 15/500 E	ПП.ИН	CRSD 15/500 E	Цех		1,00	0,00	1,00
172104	Стенд сход/развал (S/N: тумба: HV5JF026) Hofmann Geoliner 670 Lift KIT, EEWA715ALEU1	ПП.ИН	EEWA715ALEU1	Цех		1,00	0,00	1,00
172105	Мойка для деталей с подогревом (S/N: 01455) Ravaglioli, VE-800M	ПП.ИН	VE-800M	Цех		1,00	0,00	1,00
172107	Тележка диагностическая Ferrum, 06.224-5015	ПП.ИН	06.224-5015	Цех		1,00	0,00	1,00
172108	"Устройство ""третья рука"" для шином станка Hoff Monty 3300 GP, C6027703 (MH 320 PRO)"	ПП.ИН	C6027703 (MH 320 PRO	Цех		1,00	0,00	1,00
1721086F	КОМПЛ. НАКЛАДОК	FO.ЗЧ	1721086	2		3,00	0,00	3,00
1721087F	КОМПЛ. НАКЛАДОК	FO.ЗЧ	1721087	2		3,00	1,00	2,00
172109	Подъемник ножничный 5т под сход/развал с подъемник 2-го ур-ня (S/N: 00638) Ravaglioli, RAV650.2 ISI	ПП.ИН	RAV650.2 ISI, 00638	Цех		1,00	0,00	1,00
172110	Линия диагностическая (S/N: 2151) HEKA UA4, UNIVERS UA4	ПП.ИН	UNIVERS UA4	Цех		1,00	0,00	1,00
172111	Подъемник 2ст 4,2т э/г (S/N: 03896) Ravaglioli, KPH370.42K (RAL 5015)	ПП.ИН	KPH370.42K, 03896	Цех		1,00	0,00	1,00
1721110F	ТРУБ. КОМПР.	FO.ЗЧ	1721110	2		1,00	0,00	1,00
172113	Подъемник 2ст 4,2т э/г (S/N: 03897) Ravaglioli, KPH370.42K (RAL 5015)	ПП.ИН	KPH370.42K, 03897	Цех		1,00	0,00	1,00
172114	Подъемник 2ст 4,2т э/г (S/N: 03463) Ravaglioli, KPH370.42K (RAL 5015)	ПП.ИН	KPH370.42K, 03463	Цех		1,00	0,00	1,00
172115	Подъемник 2ст 4,2т э/г (S/N: 03931) Ravaglioli, KPH370.42K (RAL 5015)	ПП.ИН	KPH370.42K, 03931	Цех		1,00	0,00	1,00
172118	Подъемник 2ст 4,2т э/г (S/N: 03933) Ravaglioli, KPH370.42LIK (RAL 5015)	ПП.ИН	KPH370.42LIK, 03933	Цех		1,00	0,00	1,00
172119	Подъемник 2ст 4,2т э/г (S/N: 03843) Ravaglioli, KPH370.42LIK (RAL 5015)	ПП.ИН	KPH370.42LIK, 03843	Цех		1,00	0,00	1,00
172121	Подъемник ножничный заглубляемый 3,6т э/г (S/N: 020808) OMA, 530B	ПП.ИН	530B, 020808	Цех		1,00	0,00	1,00
172122	Подъемник ножничный заглубляемый 3,6т э/г (S/N: 022298) OMA, 530B	ПП.ИН	530B, 022298	Цех		1,00	0,00	1,00
172123	Подъемник плунжерный 3,5т К-обр (S/N: 00372) Ravaglioli, RAV1110K	ПП.ИН	RAV1110K, 00372	Цех		1,00	0,00	1,00
172124	Подъемник плунжерный 3,5т пантограф (S/N: 00210) Ravaglioli, RAV1120	ПП.ИН	RAV1120, 00210	Цех		1,00	0,00	1,00
172127	Кассета фундаментная для плунжерного подъемника Ravagliloli, S1110A1	ПП.ИН	S1110A1	Цех		2,00	0,00	2,00
172129	Комплект для увеличения высоты подъемника до 5000мм Ravaglioli, VAR5000	ПП.ИН	VAR5000	Цех		2,00	0,00	2,00
172131	"Пневмотрещотка 1/4"" Ingersoll-Rand, BNV 103A, 80146889"	ПП.ИН	BNV 103A, 80146889	ИнБр		2,00	0,00	2,00
172131	"Пневмотрещотка 1/4"" Ingersoll-Rand, BNV 103A, 80146889"	ПП.ИН	BNV 103A, 80146889	Цех		2,00	0,00	2,00
1721342F	Прокладка масляного радиатора ДВС	FO.ЗЧ	1721342	2		4,00	0,00	4,00
1721597F	ЗАДНИЙ БАМПЕР	FO.ЗЧ	1721597	2		1,00	1,00	0,00
1721597F	ЗАДНИЙ БАМПЕР	FO.ЗЧ	1721597	Бр		1,00	0,00	1,00
1722186F	Брызговички задние,4D Focus 2011	FO.ЗЧ	1722186	2		3,00	1,00	2,00
1722187F	Брызговички задние,5W Focus 2011	FO.АКС	1722187	2		2,00	0,00	2,00
172222	Значок Ford Oval, голубой 36000006	FO.АКС.ЛОК	36000006	4		4,00	0,00	4,00
172222	Значок Ford Oval, голубой 36000006	FO.АКС.ЛОК	36000006	Вт		1,00	0,00	1,00
172237	"Мяч футбольный ""Carbon"" (2012) 35010528"	FO.АКС.ЛОК	35010528	Вт		1,00	0,00	1,00
172239	Наручные часы Ford 35020568	FO.АКС.ЛОК	35020568	Вт		1,00	0,00	1,00
172240	Обложка для автодокументов Ford 36000020	FO.АКС.ЛОК	36000020	Вт		1,00	0,00	1,00
172260	"Шина ""Kumho"" 245/60/18 IZen  KC-15 105H н/шип."	ШИНЫ.гр2	245/60/18	3		4,00	0,00	4,00
1722673F	Брызговички передние Focus 2011	FO.АКС	1722673	2		4,00	0,00	4,00
172272	Дефлектор капота FORD FOCUS III	ДОП.ДФК	Дефлектор капота FOR	Вт		1,00	0,00	1,00
172273	Коврик багажника (полиуретан) FORD FOCUS III SD (NPL-P-22-18)	ДОП.КВБ	NPL-P-22-18	4		8,00	0,00	8,00
172281	Комплект ЗК и крепеж FORD Kuga (2008-) (2мм) 2,5 бензин/2,0 дизель МКПП/АКПП NLZ.16.20.020 NEW	ДОП.КАР	NLZ.16.20.020 NEW	4		4,00	0,00	4,00
1722846F	ШЕСТ. 2 ВТ.ВАЛА	FO.ЗЧ	1722846	2		1,00	0,00	1,00
172301	Специнструмент Форд: 308-757, Прибор	ПП.ИН	308-757	Ин		1,00	0,00	1,00
172302	Специнструмент Форд: 308-720, специнструмент	ПП.ИН	308-720	Ин		1,00	0,00	1,00
172303	Специнструмент Форд: 308-761, специнструмент	ПП.ИН	308-761	Ин		1,00	0,00	1,00
172304	Специнструмент Форд: 205-990, Приспособление для установки уплотнения вала	ПП.ИН	205-990	Ин		1,00	0,00	1,00
172305	Специнструмент Форд: 303-1625, Ключ для свечей зажигания	ПП.ИН	303-1625	Ин		1,00	0,00	1,00
172306	Специнструмент Форд: 418-160, Эмулятор подушки безопасности	ПП.ИН	418-160	Ин		1,00	0,00	1,00
172307	Специнструмент Форд: 205-047-08, Адаптер для 205-047	ПП.ИН	205-047-08	Ин		1,00	0,00	1,00
172308	Специнструмент Форд: 310-206-01, Адаптер для 310-206	ПП.ИН	310-206-01	Ин		1,00	0,00	1,00
172311	Специнструмент Форд: 308-924, Гаечный ключ	ПП.ИН	308-924	Ин		1,00	0,00	1,00
172312	Специнструмент Форд: 308-925, Приспособление для установки сальника	ПП.ИН	308-925	Ин		1,00	0,00	1,00
172313	Специнструмент Форд: 308-926, Приспособление для установки сальника	ПП.ИН	308-926	Ин		1,00	0,00	1,00
172318	Специнструмент Форд: 308-927, Съемник сальника	ПП.ИН	308-927	Ин		1,00	0,00	1,00
172323	Специнструмент Форд: 204-052, Приспособление для снятия/установки поворотного кулака	ПП.ИН	204-052	Ин		1,00	0,00	1,00
172331	Специнструмент Форд: 204-066, Приспособление для установки уплотнения ступицы пе	ПП.ИН	204-066	Ин		1,00	0,00	1,00
172343	Специнструмент Форд: 204-148, Съемник ступицы	ПП.ИН	204-148	Ин		1,00	0,00	1,00
172344	Специнструмент Форд: 204-158, Цанга для 205-295	ПП.ИН	204-158	Ин		1,00	0,00	1,00
1723571F	ДЕТАЛЬ FORD	FO.ЗЧ	1723571	2		7,00	0,00	7,00
172361	Специнструмент Форд: 204-158-01, Переходник для съема подшипника	ПП.ИН	204-158-01	Ин		1,00	0,00	1,00
172364	Специнструмент Форд: 204-159, Приспособление для снятия/установки поворотного кулака	ПП.ИН	204-159	Ин		1,00	0,00	1,00
172370	Специнструмент Форд: 204-160, Приспособление для установки подшипника	ПП.ИН	204-160	Ин		1,00	0,00	1,00
172373	Специнструмент Форд: 204-161, Приспособление для установки/снятия  полуоси	ПП.ИН	204-161	Ин		1,00	0,00	1,00
172377	Специнструмент Форд: 204-169, Инструмент  для установки  хомута чехла  ШРУСа	ПП.ИН	204-169	Ин		1,00	0,00	1,00
172379	Специнструмент Форд: 204-170, Съемник подшипника ведущей шестерни	ПП.ИН	204-170	Ин		1,00	0,00	1,00
172390	Специнструмент Форд: 204-170-02, Съемник подшипника приводной шестерни	ПП.ИН	204-170-02	Ин		1,00	0,00	1,00
172393	Специнструмент Форд: 204-174, Торцевая головка для гайки ступицы колеса	ПП.ИН	204-174	Ин		1,00	0,00	1,00
172394	Специнструмент Форд: 204-226, Съемник полуоси	ПП.ИН	204-226	Ин		1,00	0,00	1,00
172395	Специнструмент Форд: 204-226-01, Съемник полуоси	ПП.ИН	204-226-01	Ин		1,00	0,00	1,00
172397	Специнструмент Форд: 204-288A, Приспособление снятия/установки шаровых опор	ПП.ИН	204-288A	Ин		1,00	0,00	1,00
172399	Специнструмент Форд: 204-288A-01, Переходник для 204-288а	ПП.ИН	204-288A-01	Ин		1,00	0,00	1,00
